sample_date,sample_time,sample_year,location_id,location,analyte,sample_fraction,result_unit,result_value,guideline_unit,guideline_threshold,guideline_direction,row_class,is_evaluated,is_pass,is_non_detect,is_censored_above
2020-07-13,12:50,2020,NS01DH0002,Salmon River at Murray,Molybdenum,Total,ug/l,2.000000,ug/l,73.000,maximum,evaluated,1,1,1,0
2020-09-10,11:45,2020,NS01DH0002,Salmon River at Murray,Molybdenum,Total,ug/l,2.000000,ug/l,73.000,maximum,evaluated,1,1,1,0
2020-11-18,13:15,2020,NS01DH0002,Salmon River at Murray,Molybdenum,Total,ug/l,2.000000,ug/l,73.000,maximum,evaluated,1,1,1,0
2021-06-28,11:00,2021,NS01DH0002,Salmon River at Murray,Molybdenum,Total,ug/l,2.000000,ug/l,73.000,maximum,evaluated,1,1,1,0
2021-08-24,10:30,2021,NS01DH0002,Salmon River at Murray,Molybdenum,Total,ug/l,2.000000,ug/l,73.000,maximum,evaluated,1,1,1,0
2021-10-11,16:00,2021,NS01DH0002,Salmon River at Murray,Molybdenum,Total,ug/l,2.000000,ug/l,73.000,maximum,evaluated,1,1,1,0
2021-12-13,15:30,2021,NS01DH0002,Salmon River at Murray,Molybdenum,Total,ug/l,2.000000,ug/l,73.000,maximum,evaluated,1,1,1,0
2022-04-26,15:55,2022,NS01DH0002,Salmon River at Murray,Molybdenum,Total,ug/l,2.000000,ug/l,73.000,maximum,evaluated,1,1,1,0
2022-08-10,10:05,2022,NS01DH0002,Salmon River at Murray,Molybdenum,Total,ug/l,2.000000,ug/l,73.000,maximum,evaluated,1,1,1,0
2022-10-25,10:15,2022,NS01DH0002,Salmon River at Murray,Molybdenum,Total,ug/l,2.000000,ug/l,73.000,maximum,evaluated,1,1,1,0
2022-11-28,12:10,2022,NS01DH0002,Salmon River at Murray,Molybdenum,Total,ug/l,2.000000,ug/l,73.000,maximum,evaluated,1,1,1,0
2023-05-03,13:00,2023,NS01DH0002,Salmon River at Murray,Molybdenum,Total,ug/l,2.000000,ug/l,73.000,maximum,evaluated,1,1,1,0
2023-06-27,11:00,2023,NS01DH0002,Salmon River at Murray,Molybdenum,Total,ug/l,2.000000,ug/l,73.000,maximum,evaluated,1,1,1,0
2023-09-07,15:30,2023,NS01DH0002,Salmon River at Murray,Molybdenum,Total,ug/l,2.000000,ug/l,73.000,maximum,evaluated,1,1,1,0
2023-11-06,11:15,2023,NS01DH0002,Salmon River at Murray,Molybdenum,Total,ug/l,2.000000,ug/l,73.000,maximum,evaluated,1,1,1,0
2024-04-16,14:45,2024,NS01DH0002,Salmon River at Murray,Molybdenum,Total,ug/l,2.000000,ug/l,73.000,maximum,evaluated,1,1,1,0
2024-07-17,10:30,2024,NS01DH0002,Salmon River at Murray,Molybdenum,Total,ug/l,2.000000,ug/l,73.000,maximum,evaluated,1,1,1,0
2024-09-17,12:40,2024,NS01DH0002,Salmon River at Murray,Molybdenum,Total,ug/l,2.000000,ug/l,73.000,maximum,evaluated,1,1,1,0
2024-11-12,14:30,2024,NS01DH0002,Salmon River at Murray,Molybdenum,Total,ug/l,2.000000,ug/l,73.000,maximum,evaluated,1,1,1,0
2020-04-16,10:00,2020,NS01DH0002,Salmon River at Murray,Selenium,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2020-09-10,11:45,2020,NS01DH0002,Salmon River at Murray,Selenium,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2022-04-26,15:55,2022,NS01DH0002,Salmon River at Murray,Selenium,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2022-08-10,10:05,2022,NS01DH0002,Salmon River at Murray,Selenium,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2022-10-25,10:15,2022,NS01DH0002,Salmon River at Murray,Selenium,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2022-11-28,12:10,2022,NS01DH0002,Salmon River at Murray,Selenium,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2023-05-03,13:00,2023,NS01DH0002,Salmon River at Murray,Selenium,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2023-06-27,11:00,2023,NS01DH0002,Salmon River at Murray,Selenium,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2023-09-07,15:30,2023,NS01DH0002,Salmon River at Murray,Selenium,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2023-11-06,11:15,2023,NS01DH0002,Salmon River at Murray,Selenium,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2024-04-16,14:45,2024,NS01DH0002,Salmon River at Murray,Selenium,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2024-07-17,10:30,2024,NS01DH0002,Salmon River at Murray,Selenium,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2024-09-17,12:40,2024,NS01DH0002,Salmon River at Murray,Selenium,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2024-11-12,14:30,2024,NS01DH0002,Salmon River at Murray,Selenium,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2019-06-24,12:45,2019,NS01DH0002,Salmon River at Murray,Selenium,Total,ug/l,2.000000,ug/l,1.000,maximum,evaluated,1,1,1,1
2019-09-06,09:30,2019,NS01DH0002,Salmon River at Murray,Selenium,Total,ug/l,2.000000,ug/l,1.000,maximum,evaluated,1,1,1,1
2019-10-21,10:25,2019,NS01DH0002,Salmon River at Murray,Selenium,Total,ug/l,2.000000,ug/l,1.000,maximum,evaluated,1,1,1,1
2019-12-19,10:18,2019,NS01DH0002,Salmon River at Murray,Selenium,Total,ug/l,2.000000,ug/l,1.000,maximum,evaluated,1,1,1,1
2020-04-16,10:00,2020,NS01DH0002,Salmon River at Murray,Selenium,Total,ug/l,2.000000,ug/l,1.000,maximum,evaluated,1,1,1,1
2020-07-13,12:50,2020,NS01DH0002,Salmon River at Murray,Selenium,Total,ug/l,2.000000,ug/l,1.000,maximum,evaluated,1,1,1,1
2020-09-10,11:45,2020,NS01DH0002,Salmon River at Murray,Selenium,Total,ug/l,2.000000,ug/l,1.000,maximum,evaluated,1,1,1,1
2020-11-18,13:15,2020,NS01DH0002,Salmon River at Murray,Selenium,Total,ug/l,2.000000,ug/l,1.000,maximum,evaluated,1,1,1,1
2021-06-28,11:00,2021,NS01DH0002,Salmon River at Murray,Selenium,Total,ug/l,2.000000,ug/l,1.000,maximum,evaluated,1,1,1,1
2021-08-24,10:30,2021,NS01DH0002,Salmon River at Murray,Selenium,Total,ug/l,2.000000,ug/l,1.000,maximum,evaluated,1,1,1,1
2021-10-11,16:00,2021,NS01DH0002,Salmon River at Murray,Selenium,Total,ug/l,2.000000,ug/l,1.000,maximum,evaluated,1,1,1,1
2021-12-13,15:30,2021,NS01DH0002,Salmon River at Murray,Selenium,Total,ug/l,2.000000,ug/l,1.000,maximum,evaluated,1,1,1,1
2022-04-26,15:55,2022,NS01DH0002,Salmon River at Murray,Selenium,Total,ug/l,2.000000,ug/l,1.000,maximum,evaluated,1,1,1,1
2022-08-10,10:05,2022,NS01DH0002,Salmon River at Murray,Selenium,Total,ug/l,2.000000,ug/l,1.000,maximum,evaluated,1,1,1,1
2022-10-25,10:15,2022,NS01DH0002,Salmon River at Murray,Selenium,Total,ug/l,2.000000,ug/l,1.000,maximum,evaluated,1,1,1,1
2022-11-28,12:10,2022,NS01DH0002,Salmon River at Murray,Selenium,Total,ug/l,2.000000,ug/l,1.000,maximum,evaluated,1,1,1,1
2023-05-03,13:00,2023,NS01DH0002,Salmon River at Murray,Selenium,Total,ug/l,2.000000,ug/l,1.000,maximum,evaluated,1,1,1,1
2023-06-27,11:00,2023,NS01DH0002,Salmon River at Murray,Selenium,Total,ug/l,2.000000,ug/l,1.000,maximum,evaluated,1,1,1,1
2023-09-07,15:30,2023,NS01DH0002,Salmon River at Murray,Selenium,Total,ug/l,2.000000,ug/l,1.000,maximum,evaluated,1,1,1,1
2023-11-06,11:15,2023,NS01DH0002,Salmon River at Murray,Selenium,Total,ug/l,2.000000,ug/l,1.000,maximum,evaluated,1,1,1,1
2024-04-16,14:45,2024,NS01DH0002,Salmon River at Murray,Selenium,Total,ug/l,2.000000,ug/l,1.000,maximum,evaluated,1,1,1,1
2024-07-17,10:30,2024,NS01DH0002,Salmon River at Murray,Selenium,Total,ug/l,2.000000,ug/l,1.000,maximum,evaluated,1,1,1,1
2024-09-17,12:40,2024,NS01DH0002,Salmon River at Murray,Selenium,Total,ug/l,2.000000,ug/l,1.000,maximum,evaluated,1,1,1,1
2024-11-12,14:30,2024,NS01DH0002,Salmon River at Murray,Selenium,Total,ug/l,2.000000,ug/l,1.000,maximum,evaluated,1,1,1,1
2020-04-16,10:00,2020,NS01DH0002,Salmon River at Murray,Silver,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2020-09-10,11:45,2020,NS01DH0002,Salmon River at Murray,Silver,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2022-04-26,15:55,2022,NS01DH0002,Salmon River at Murray,Silver,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2022-08-10,10:05,2022,NS01DH0002,Salmon River at Murray,Silver,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2022-10-25,10:15,2022,NS01DH0002,Salmon River at Murray,Silver,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2022-11-28,12:10,2022,NS01DH0002,Salmon River at Murray,Silver,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2023-05-03,13:00,2023,NS01DH0002,Salmon River at Murray,Silver,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2023-06-27,11:00,2023,NS01DH0002,Salmon River at Murray,Silver,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2023-09-07,15:30,2023,NS01DH0002,Salmon River at Murray,Silver,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2023-11-06,11:15,2023,NS01DH0002,Salmon River at Murray,Silver,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2024-04-16,14:45,2024,NS01DH0002,Salmon River at Murray,Silver,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2024-07-17,10:30,2024,NS01DH0002,Salmon River at Murray,Silver,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2024-09-17,12:40,2024,NS01DH0002,Salmon River at Murray,Silver,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2024-11-12,14:30,2024,NS01DH0002,Salmon River at Murray,Silver,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2019-06-24,12:45,2019,NS01DH0002,Salmon River at Murray,Silver,Total,ug/l,2.000000,ug/l,0.250,maximum,evaluated,1,1,1,1
2019-09-06,09:30,2019,NS01DH0002,Salmon River at Murray,Silver,Total,ug/l,2.000000,ug/l,0.250,maximum,evaluated,1,1,1,1
2019-10-21,10:25,2019,NS01DH0002,Salmon River at Murray,Silver,Total,ug/l,2.000000,ug/l,0.250,maximum,evaluated,1,1,1,1
2019-12-19,10:18,2019,NS01DH0002,Salmon River at Murray,Silver,Total,ug/l,2.000000,ug/l,0.250,maximum,evaluated,1,1,1,1
2020-04-16,10:00,2020,NS01DH0002,Salmon River at Murray,Silver,Total,ug/l,2.000000,ug/l,0.250,maximum,evaluated,1,1,1,1
2020-07-13,12:50,2020,NS01DH0002,Salmon River at Murray,Silver,Total,ug/l,2.000000,ug/l,0.250,maximum,evaluated,1,1,1,1
2020-09-10,11:45,2020,NS01DH0002,Salmon River at Murray,Silver,Total,ug/l,2.000000,ug/l,0.250,maximum,evaluated,1,1,1,1
2020-11-18,13:15,2020,NS01DH0002,Salmon River at Murray,Silver,Total,ug/l,2.000000,ug/l,0.250,maximum,evaluated,1,1,1,1
2021-06-28,11:00,2021,NS01DH0002,Salmon River at Murray,Silver,Total,ug/l,2.000000,ug/l,0.250,maximum,evaluated,1,1,1,1
2021-08-24,10:30,2021,NS01DH0002,Salmon River at Murray,Silver,Total,ug/l,2.000000,ug/l,0.250,maximum,evaluated,1,1,1,1
2021-10-11,16:00,2021,NS01DH0002,Salmon River at Murray,Silver,Total,ug/l,2.000000,ug/l,0.250,maximum,evaluated,1,1,1,1
2021-12-13,15:30,2021,NS01DH0002,Salmon River at Murray,Silver,Total,ug/l,2.000000,ug/l,0.250,maximum,evaluated,1,1,1,1
2022-04-26,15:55,2022,NS01DH0002,Salmon River at Murray,Silver,Total,ug/l,2.000000,ug/l,0.250,maximum,evaluated,1,1,1,1
2022-08-10,10:05,2022,NS01DH0002,Salmon River at Murray,Silver,Total,ug/l,2.000000,ug/l,0.250,maximum,evaluated,1,1,1,1
2022-10-25,10:15,2022,NS01DH0002,Salmon River at Murray,Silver,Total,ug/l,2.000000,ug/l,0.250,maximum,evaluated,1,1,1,1
2022-11-28,12:10,2022,NS01DH0002,Salmon River at Murray,Silver,Total,ug/l,2.000000,ug/l,0.250,maximum,evaluated,1,1,1,1
2023-05-03,13:00,2023,NS01DH0002,Salmon River at Murray,Silver,Total,ug/l,2.000000,ug/l,0.250,maximum,evaluated,1,1,1,1
2023-06-27,11:00,2023,NS01DH0002,Salmon River at Murray,Silver,Total,ug/l,2.000000,ug/l,0.250,maximum,evaluated,1,1,1,1
2023-09-07,15:30,2023,NS01DH0002,Salmon River at Murray,Silver,Total,ug/l,2.000000,ug/l,0.250,maximum,evaluated,1,1,1,1
2023-11-06,11:15,2023,NS01DH0002,Salmon River at Murray,Silver,Total,ug/l,2.000000,ug/l,0.250,maximum,evaluated,1,1,1,1
2024-04-16,14:45,2024,NS01DH0002,Salmon River at Murray,Silver,Total,ug/l,2.000000,ug/l,0.250,maximum,evaluated,1,1,1,1
2024-07-17,10:30,2024,NS01DH0002,Salmon River at Murray,Silver,Total,ug/l,2.000000,ug/l,0.250,maximum,evaluated,1,1,1,1
2024-09-17,12:40,2024,NS01DH0002,Salmon River at Murray,Silver,Total,ug/l,2.000000,ug/l,0.250,maximum,evaluated,1,1,1,1
2024-11-12,14:30,2024,NS01DH0002,Salmon River at Murray,Silver,Total,ug/l,2.000000,ug/l,0.250,maximum,evaluated,1,1,1,1
2020-04-16,10:00,2020,NS01DH0002,Salmon River at Murray,Thallium,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2020-09-10,11:45,2020,NS01DH0002,Salmon River at Murray,Thallium,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2022-04-26,15:55,2022,NS01DH0002,Salmon River at Murray,Thallium,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2022-08-10,10:05,2022,NS01DH0002,Salmon River at Murray,Thallium,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2022-10-25,10:15,2022,NS01DH0002,Salmon River at Murray,Thallium,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2022-11-28,12:10,2022,NS01DH0002,Salmon River at Murray,Thallium,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2023-05-03,13:00,2023,NS01DH0002,Salmon River at Murray,Thallium,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2023-06-27,11:00,2023,NS01DH0002,Salmon River at Murray,Thallium,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2023-09-07,15:30,2023,NS01DH0002,Salmon River at Murray,Thallium,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2023-11-06,11:15,2023,NS01DH0002,Salmon River at Murray,Thallium,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2024-04-16,14:45,2024,NS01DH0002,Salmon River at Murray,Thallium,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2024-07-17,10:30,2024,NS01DH0002,Salmon River at Murray,Thallium,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2024-09-17,12:40,2024,NS01DH0002,Salmon River at Murray,Thallium,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2024-11-12,14:30,2024,NS01DH0002,Salmon River at Murray,Thallium,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2019-06-24,12:45,2019,NS01DH0002,Salmon River at Murray,Thallium,Total,ug/l,2.000000,ug/l,0.800,maximum,evaluated,1,1,1,1
2019-09-06,09:30,2019,NS01DH0002,Salmon River at Murray,Thallium,Total,ug/l,2.000000,ug/l,0.800,maximum,evaluated,1,1,1,1
2019-10-21,10:25,2019,NS01DH0002,Salmon River at Murray,Thallium,Total,ug/l,2.000000,ug/l,0.800,maximum,evaluated,1,1,1,1
2019-12-19,10:18,2019,NS01DH0002,Salmon River at Murray,Thallium,Total,ug/l,2.000000,ug/l,0.800,maximum,evaluated,1,1,1,1
2020-04-16,10:00,2020,NS01DH0002,Salmon River at Murray,Thallium,Total,ug/l,2.000000,ug/l,0.800,maximum,evaluated,1,1,1,1
2020-07-13,12:50,2020,NS01DH0002,Salmon River at Murray,Thallium,Total,ug/l,2.000000,ug/l,0.800,maximum,evaluated,1,1,1,1
2020-09-10,11:45,2020,NS01DH0002,Salmon River at Murray,Thallium,Total,ug/l,2.000000,ug/l,0.800,maximum,evaluated,1,1,1,1
2020-11-18,13:15,2020,NS01DH0002,Salmon River at Murray,Thallium,Total,ug/l,2.000000,ug/l,0.800,maximum,evaluated,1,1,1,1
2021-06-28,11:00,2021,NS01DH0002,Salmon River at Murray,Thallium,Total,ug/l,2.000000,ug/l,0.800,maximum,evaluated,1,1,1,1
2021-08-24,10:30,2021,NS01DH0002,Salmon River at Murray,Thallium,Total,ug/l,2.000000,ug/l,0.800,maximum,evaluated,1,1,1,1
2021-10-11,16:00,2021,NS01DH0002,Salmon River at Murray,Thallium,Total,ug/l,2.000000,ug/l,0.800,maximum,evaluated,1,1,1,1
2021-12-13,15:30,2021,NS01DH0002,Salmon River at Murray,Thallium,Total,ug/l,2.000000,ug/l,0.800,maximum,evaluated,1,1,1,1
2022-04-26,15:55,2022,NS01DH0002,Salmon River at Murray,Thallium,Total,ug/l,2.000000,ug/l,0.800,maximum,evaluated,1,1,1,1
2022-08-10,10:05,2022,NS01DH0002,Salmon River at Murray,Thallium,Total,ug/l,2.000000,ug/l,0.800,maximum,evaluated,1,1,1,1
2022-10-25,10:15,2022,NS01DH0002,Salmon River at Murray,Thallium,Total,ug/l,2.000000,ug/l,0.800,maximum,evaluated,1,1,1,1
2022-11-28,12:10,2022,NS01DH0002,Salmon River at Murray,Thallium,Total,ug/l,2.000000,ug/l,0.800,maximum,evaluated,1,1,1,1
2023-05-03,13:00,2023,NS01DH0002,Salmon River at Murray,Thallium,Total,ug/l,2.000000,ug/l,0.800,maximum,evaluated,1,1,1,1
2023-06-27,11:00,2023,NS01DH0002,Salmon River at Murray,Thallium,Total,ug/l,2.000000,ug/l,0.800,maximum,evaluated,1,1,1,1
2023-09-07,15:30,2023,NS01DH0002,Salmon River at Murray,Thallium,Total,ug/l,2.000000,ug/l,0.800,maximum,evaluated,1,1,1,1
2023-11-06,11:15,2023,NS01DH0002,Salmon River at Murray,Thallium,Total,ug/l,2.000000,ug/l,0.800,maximum,evaluated,1,1,1,1
2024-04-16,14:45,2024,NS01DH0002,Salmon River at Murray,Thallium,Total,ug/l,2.000000,ug/l,0.800,maximum,evaluated,1,1,1,1
2024-07-17,10:30,2024,NS01DH0002,Salmon River at Murray,Thallium,Total,ug/l,2.000000,ug/l,0.800,maximum,evaluated,1,1,1,1
2024-09-17,12:40,2024,NS01DH0002,Salmon River at Murray,Thallium,Total,ug/l,2.000000,ug/l,0.800,maximum,evaluated,1,1,1,1
2024-11-12,14:30,2024,NS01DH0002,Salmon River at Murray,Thallium,Total,ug/l,2.000000,ug/l,0.800,maximum,evaluated,1,1,1,1
2020-04-16,10:00,2020,NS01DH0002,Salmon River at Murray,Uranium,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2020-09-10,11:45,2020,NS01DH0002,Salmon River at Murray,Uranium,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2022-04-26,15:55,2022,NS01DH0002,Salmon River at Murray,Uranium,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2022-08-10,10:05,2022,NS01DH0002,Salmon River at Murray,Uranium,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2022-10-25,10:15,2022,NS01DH0002,Salmon River at Murray,Uranium,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2022-11-28,12:10,2022,NS01DH0002,Salmon River at Murray,Uranium,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2023-05-03,13:00,2023,NS01DH0002,Salmon River at Murray,Uranium,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2023-06-27,11:00,2023,NS01DH0002,Salmon River at Murray,Uranium,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2023-09-07,15:30,2023,NS01DH0002,Salmon River at Murray,Uranium,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2023-11-06,11:15,2023,NS01DH0002,Salmon River at Murray,Uranium,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2024-04-16,14:45,2024,NS01DH0002,Salmon River at Murray,Uranium,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2024-07-17,10:30,2024,NS01DH0002,Salmon River at Murray,Uranium,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2024-09-17,12:40,2024,NS01DH0002,Salmon River at Murray,Uranium,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2024-11-12,14:30,2024,NS01DH0002,Salmon River at Murray,Uranium,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2019-06-24,12:45,2019,NS01DH0002,Salmon River at Murray,Uranium,Total,ug/l,0.500000,ug/l,15.000,maximum,evaluated,1,1,1,0
2019-09-06,09:30,2019,NS01DH0002,Salmon River at Murray,Uranium,Total,ug/l,0.500000,ug/l,15.000,maximum,evaluated,1,1,1,0
2019-10-21,10:25,2019,NS01DH0002,Salmon River at Murray,Uranium,Total,ug/l,0.500000,ug/l,15.000,maximum,evaluated,1,1,1,0
2019-12-19,10:18,2019,NS01DH0002,Salmon River at Murray,Uranium,Total,ug/l,0.500000,ug/l,15.000,maximum,evaluated,1,1,1,0
2020-04-16,10:00,2020,NS01DH0002,Salmon River at Murray,Uranium,Total,ug/l,0.500000,ug/l,15.000,maximum,evaluated,1,1,1,0
2020-07-13,12:50,2020,NS01DH0002,Salmon River at Murray,Uranium,Total,ug/l,0.500000,ug/l,15.000,maximum,evaluated,1,1,1,0
2020-09-10,11:45,2020,NS01DH0002,Salmon River at Murray,Uranium,Total,ug/l,0.500000,ug/l,15.000,maximum,evaluated,1,1,1,0
2020-11-18,13:15,2020,NS01DH0002,Salmon River at Murray,Uranium,Total,ug/l,0.500000,ug/l,15.000,maximum,evaluated,1,1,1,0
2021-06-28,11:00,2021,NS01DH0002,Salmon River at Murray,Uranium,Total,ug/l,0.500000,ug/l,15.000,maximum,evaluated,1,1,1,0
2021-08-24,10:30,2021,NS01DH0002,Salmon River at Murray,Uranium,Total,ug/l,0.500000,ug/l,15.000,maximum,evaluated,1,1,1,0
2021-10-11,16:00,2021,NS01DH0002,Salmon River at Murray,Uranium,Total,ug/l,0.500000,ug/l,15.000,maximum,evaluated,1,1,1,0
2021-12-13,15:30,2021,NS01DH0002,Salmon River at Murray,Uranium,Total,ug/l,0.500000,ug/l,15.000,maximum,evaluated,1,1,1,0
2022-04-26,15:55,2022,NS01DH0002,Salmon River at Murray,Uranium,Total,ug/l,0.500000,ug/l,15.000,maximum,evaluated,1,1,1,0
2022-08-10,10:05,2022,NS01DH0002,Salmon River at Murray,Uranium,Total,ug/l,0.500000,ug/l,15.000,maximum,evaluated,1,1,1,0
2022-10-25,10:15,2022,NS01DH0002,Salmon River at Murray,Uranium,Total,ug/l,0.500000,ug/l,15.000,maximum,evaluated,1,1,1,0
2022-11-28,12:10,2022,NS01DH0002,Salmon River at Murray,Uranium,Total,ug/l,0.500000,ug/l,15.000,maximum,evaluated,1,1,1,0
2023-05-03,13:00,2023,NS01DH0002,Salmon River at Murray,Uranium,Total,ug/l,0.500000,ug/l,15.000,maximum,evaluated,1,1,1,0
2023-06-27,11:00,2023,NS01DH0002,Salmon River at Murray,Uranium,Total,ug/l,0.500000,ug/l,15.000,maximum,evaluated,1,1,1,0
2023-09-07,15:30,2023,NS01DH0002,Salmon River at Murray,Uranium,Total,ug/l,0.500000,ug/l,15.000,maximum,evaluated,1,1,1,0
2023-11-06,11:15,2023,NS01DH0002,Salmon River at Murray,Uranium,Total,ug/l,0.500000,ug/l,15.000,maximum,evaluated,1,1,1,0
2024-04-16,14:45,2024,NS01DH0002,Salmon River at Murray,Uranium,Total,ug/l,0.500000,ug/l,15.000,maximum,evaluated,1,1,1,0
2024-07-17,10:30,2024,NS01DH0002,Salmon River at Murray,Uranium,Total,ug/l,0.500000,ug/l,15.000,maximum,evaluated,1,1,1,0
2024-09-17,12:40,2024,NS01DH0002,Salmon River at Murray,Uranium,Total,ug/l,0.500000,ug/l,15.000,maximum,evaluated,1,1,1,0
2024-11-12,14:30,2024,NS01DH0002,Salmon River at Murray,Uranium,Total,ug/l,0.500000,ug/l,15.000,maximum,evaluated,1,1,1,0
2020-07-16,11:00,2020,NS01DL0009,Kelley River at Eight Mile Ford,Arsenic,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2020-11-25,13:00,2020,NS01DL0009,Kelley River at Eight Mile Ford,Arsenic,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2022-05-10,11:00,2022,NS01DL0009,Kelley River at Eight Mile Ford,Arsenic,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2022-08-16,11:00,2022,NS01DL0009,Kelley River at Eight Mile Ford,Arsenic,Dissolved,ug/l,,,,,wrong_fraction,0,,0,
2022-10-26,14:00,2022,NS01DL0009,Kelley River at Eight Mile Ford,Arsenic,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2022-12-06,13:25,2022,NS01DL0009,Kelley River at Eight Mile Ford,Arsenic,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2023-05-09,12:50,2023,NS01DL0009,Kelley River at Eight Mile Ford,Arsenic,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2023-07-17,11:30,2023,NS01DL0009,Kelley River at Eight Mile Ford,Arsenic,Dissolved,ug/l,,,,,wrong_fraction,0,,0,
2023-10-05,12:00,2023,NS01DL0009,Kelley River at Eight Mile Ford,Arsenic,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2023-11-15,14:00,2023,NS01DL0009,Kelley River at Eight Mile Ford,Arsenic,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2024-05-30,12:00,2024,NS01DL0009,Kelley River at Eight Mile Ford,Arsenic,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2024-08-27,12:00,2024,NS01DL0009,Kelley River at Eight Mile Ford,Arsenic,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2024-10-03,12:00,2024,NS01DL0009,Kelley River at Eight Mile Ford,Arsenic,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2024-12-16,13:00,2024,NS01DL0009,Kelley River at Eight Mile Ford,Arsenic,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2019-05-17,12:00,2019,NS01DL0009,Kelley River at Eight Mile Ford,Arsenic,Total,ug/l,1.000000,ug/l,5.000,maximum,evaluated,1,1,1,0
2019-08-20,11:00,2019,NS01DL0009,Kelley River at Eight Mile Ford,Arsenic,Total,ug/l,0.500000,ug/l,5.000,maximum,evaluated,1,1,1,0
2019-09-19,13:00,2019,NS01DL0009,Kelley River at Eight Mile Ford,Arsenic,Total,ug/l,0.500000,ug/l,5.000,maximum,evaluated,1,1,1,0
2019-11-26,12:00,2019,NS01DL0009,Kelley River at Eight Mile Ford,Arsenic,Total,ug/l,0.500000,ug/l,5.000,maximum,evaluated,1,1,1,0
2020-05-21,12:00,2020,NS01DL0009,Kelley River at Eight Mile Ford,Arsenic,Total,ug/l,1.000000,ug/l,5.000,maximum,evaluated,1,1,1,0
